sku,title,name,creator,art_series,price,reservable,symbol,type,likes,cid,path,tags
1,30 min Drawings,Giant Frog,kristyglas,kristyglas_30-min-drawings_giant-frog,50,TRUE,SWAP.HIVE,PHOTO,0,QmegjZDN2gyD9A6cG4efj8DwbLLGTW6isDGadNC2yVJHfH,,
2,Dream World,A Guide in my Dreams,yoslehz,yoslehz_dream-world_a-guide-in-my-dreams,20,TRUE,SWAP.HIVE,PHOTO,0,QmUTicJApSyByFb7sgsNa6cz8MG5RKsHvGLP61gxSF3JsN,,
3,Dream World,I found colors in my sky,yoslehz,yoslehz_dream-world_i-found-colors-in-my-sky,20,TRUE,SWAP.HIVE,PHOTO,0,QmT36BPdeJWNEdUr566z4DYGWxXqrDSeoA7zCHbKw8528w,,
4,experimental,Angela 👼,elias15g,elias15g_experimental_angela-,35,TRUE,SWAP.HIVE,PHOTO,0,QmWQGXNu47pecHGfEatd3ATakphq5zXVrzs5unYYK4VR1c,,
5,DIGIT,MONAPIZZA,drew0,drew0_digit_monapizza,10,TRUE,SWAP.HIVE,PHOTO,0,Qma6eHAWkXhrkHsfCHrYJNkuPoUAFrSjg2a6Xk2sCM7CBd,,
6,DIGIT,Darkness,drew0,drew0_digit_darkness,16,TRUE,SWAP.HIVE,PHOTO,0,QmeTAUBQUoqekVQBhEFqdCSAjCVX9ShTALx58w74mscf1a,,
7,suppose,Poor,drew0,drew0_suppose_poor,15,TRUE,SWAP.HIVE,PHOTO,0,QmUmwLohsrgjHac27XQ7eWCkLS4VP35uUtT4jLqyo4rMyX,,
8,Psychedelic Art,Abducted ,medinesaan,medinesaan_psychedelic-art_abducted,50,TRUE,SWAP.HIVE,PHOTO,0,QmWSozMKfzNE43WoAmcf5QdL3ptrmBTPJdxPxeggojeMdT,,
9,Digital drawings,Tame the inner furies,medinesaan,medinesaan_digital-drawings_tame-the-inner-furies,30,TRUE,SWAP.HIVE,PHOTO,0,QmfDRZnYUtM96U8AgNbS9bqgpahvPSDrXs2vhfsJKK1PD5,,
10,Reborn,Disturbed,berlissanoja,berlissanoja_reborn_disturbed,17,TRUE,SWAP.HIVE,PHOTO,0,QmSuqPZsf9xxcEkdDQpcNnJ5HZC3tacwsmPtmkrZ97LL8a,,
11,Rafael Michelena (NFTBOX),Crypto Daemons,difelice5000,difelice5000_rafael-michelena-nftbox_crypto-daemons,11,TRUE,SWAP.HIVE,PHOTO,0,QmbJ5uAYt3PDjEHZNoodeyjpPM7CPp93aTWT3SshbS5YFa,,
12,Rafael Michelena (NFTBOX), surprised by the chaos,difelice5000,difelice5000_rafael-michelena-nftbox_surprised-by-the-chaos,11,TRUE,SWAP.HIVE,PHOTO,0,QmaWvdqVZQeQXqSfR1HwPgWUUp1rfvDCQKvcc3gouhfbRm,,
13,Rafael Michelena (NFTBOX),resurface,difelice5000,difelice5000_rafael-michelena-nftbox_resurface,11,TRUE,SWAP.HIVE,PHOTO,0,QmaDVBjsjmpPwHun3SCL9HGRjem5uZmoJgmCqdN13wVxrt,,
14,Avarice,Avarice,lizano,lizano_avarice_avarice,20,TRUE,SWAP.HIVE,PHOTO,0,QmNiRqeW84jnEbN8wVCcsyXc8f6HgX5aHEScBaTkqWmvpp,,
15,From the corners of my mind,A little bit of Mercy please,orianabeam,orianabeam_from-the-corners-of-my-mind_a-little-bit-of-mercy-please,25,TRUE,SWAP.HIVE,PHOTO,0,QmQWykiSvoYKtTM1SznM4aDGNmciiRLEWNkCEoP2L8zR65,,
16,CryptoArts,Dream of A Child,xxxthorxxx,xxxthorxxx_cryptoarts_dream-of-a-child,50,TRUE,SWAP.HIVE,PHOTO,0,QmU1kCAghsy5DCaWP79atdRzYDhvAYddFvVbuLPK4hAxUy,,
