sku,title,name,creator,art_series,price,reservable,symbol,type,likes,cid,path,tags
0001,30 min Drawings,Giant Frog,kristyglas,kristyglas_30-min-drawings_giant-frog,50,TRUE,SWAP.HIVE,PHOTO,0,QmegjZDN2gyD9A6cG4efj8DwbLLGTW6isDGadNC2yVJHfH,image/QmegjZDN2gyD9A6cG4efj8DwbLLGTW6isDGadNC2yVJHfH.jpg,"['Liquid', 'Blue', 'Frog', 'True frog', 'Azure', 'Fluid', 'Water', 'Toad', 'Organism', 'Painting']"
0002,Dream World,A Guide in my Dreams,yoslehz,yoslehz_dream-world_a-guide-in-my-dreams,20,TRUE,SWAP.HIVE,PHOTO,0,QmUTicJApSyByFb7sgsNa6cz8MG5RKsHvGLP61gxSF3JsN,image/QmUTicJApSyByFb7sgsNa6cz8MG5RKsHvGLP61gxSF3JsN.jpg,"['Bird', 'Art paint', 'Paint', 'Nature', 'Beak', 'Organism', 'Painting', 'Art', 'Ducks, geese and swans', 'Waterfowl']"
0003,Dream World,I found colors in my sky,yoslehz,yoslehz_dream-world_i-found-colors-in-my-sky,20,TRUE,SWAP.HIVE,PHOTO,0,QmT36BPdeJWNEdUr566z4DYGWxXqrDSeoA7zCHbKw8528w,image/QmT36BPdeJWNEdUr566z4DYGWxXqrDSeoA7zCHbKw8528w.jpg,"['Colorfulness', 'Purple', 'Nature', 'Triangle', 'Violet', 'Tints and shades', 'Pattern', 'Art', 'Symmetry', 'Technology']"
0004,experimental,Angela 👼,elias15g,elias15g_experimental_angela-,35,TRUE,SWAP.HIVE,PHOTO,0,QmWQGXNu47pecHGfEatd3ATakphq5zXVrzs5unYYK4VR1c,image/QmWQGXNu47pecHGfEatd3ATakphq5zXVrzs5unYYK4VR1c.jpg,"['Clothing', 'Hair', 'Arm', 'Mouth', 'Muscle', 'Cartoon', 'Organ', 'Pink', 'Style', 'Cool']"
0005,DIGIT,MONAPIZZA,drew0,drew0_digit_monapizza,10,TRUE,SWAP.HIVE,PHOTO,0,Qma6eHAWkXhrkHsfCHrYJNkuPoUAFrSjg2a6Xk2sCM7CBd,image/Qma6eHAWkXhrkHsfCHrYJNkuPoUAFrSjg2a6Xk2sCM7CBd.jpg,"['Art paint', 'Human body', 'Art', 'Paint', 'Dress', 'Painting', 'Headgear', 'Hat', 'Costume hat', 'Artist']"
0006,DIGIT,Darkness,drew0,drew0_digit_darkness,16,TRUE,SWAP.HIVE,PHOTO,0,QmeTAUBQUoqekVQBhEFqdCSAjCVX9ShTALx58w74mscf1a,image/QmeTAUBQUoqekVQBhEFqdCSAjCVX9ShTALx58w74mscf1a.jpg,"['Vertebrate', 'Black', 'Organism', 'Mammal', 'Font', 'Line', 'Art', 'Symmetry', 'Circle', 'Pattern']"
0007,suppose,Poor,drew0,drew0_suppose_poor,15,TRUE,SWAP.HIVE,PHOTO,0,QmUmwLohsrgjHac27XQ7eWCkLS4VP35uUtT4jLqyo4rMyX,image/QmUmwLohsrgjHac27XQ7eWCkLS4VP35uUtT4jLqyo4rMyX.jpg,"['Vertebrate', 'Botany', 'Organism', 'Mammal', 'Black-and-white', 'Art', 'Style', 'Line', 'Font', 'Symmetry']"
0008,Psychedelic Art,Abducted ,medinesaan,medinesaan_psychedelic-art_abducted,50,TRUE,SWAP.HIVE,PHOTO,0,QmWSozMKfzNE43WoAmcf5QdL3ptrmBTPJdxPxeggojeMdT,image/QmWSozMKfzNE43WoAmcf5QdL3ptrmBTPJdxPxeggojeMdT.jpg,"['Forehead', 'Nose', 'Cheek', 'Lip', 'Chin', 'Hairstyle', 'Eyebrow', 'Eyelash', 'Mouth', 'Jaw']"
0009,Digital drawings,Tame the inner furies,medinesaan,medinesaan_digital-drawings_tame-the-inner-furies,30,TRUE,SWAP.HIVE,PHOTO,0,QmfDRZnYUtM96U8AgNbS9bqgpahvPSDrXs2vhfsJKK1PD5,image/QmfDRZnYUtM96U8AgNbS9bqgpahvPSDrXs2vhfsJKK1PD5.jpg,"['Head', 'Eye', 'Vertebrate', 'Green', 'Organ', 'Sleeve', 'Mammal', 'Cat', 'Plant', 'Iris']"
0010,Reborn,Disturbed,berlissanoja,berlissanoja_reborn_disturbed,17,TRUE,SWAP.HIVE,PHOTO,0,QmSuqPZsf9xxcEkdDQpcNnJ5HZC3tacwsmPtmkrZ97LL8a,image/QmSuqPZsf9xxcEkdDQpcNnJ5HZC3tacwsmPtmkrZ97LL8a.jpg,"['Head', 'Jaw', 'Neck', 'Eyelash', 'Entertainment', 'Sculpture', 'Art', 'Font', 'Fictional character', 'Painting']"
